SRA_accession_code	GEO_accession_code	pubmed_id	pmcid
SRP094781	GSE91061	29033130	PMC5685550
SRP115543	GSE102721	29386116	PMC5908229
SRP165940			
SRP114994	GSE102345	28881745	PMC5581044
SRP052702	GSE65141	26553694	PMC4681654
SRP017698			
SRP021891	GSE46486	24279375	PMC3819645
SRP185818	GSE126504	31001480	PMC6454005
SRP114987	GSE102342	29547900	PMC6248359
SRP185812	GSE126502	30995674	PMC6657343
SRP164913	GSE121082	30674904	PMC6344574
SRP115962	GSE102957	29925903	PMC6326955
SRP032754	GSE52148	24681958	PMC4511176
SRP096825	GSE93657	28964717	
SRP100848	GSE95491	29026085	PMC5638898
SRP184517	GSE126250	30958799	PMC6486341
SRP080816	GSE85109	28128390	
SRP191427	GSE129473	31619230	PMC6796419
SRP166162	GSE121519	30630471	PMC6329125
SRP060013			
SRP187760	GSE127955		
SRP080886			
SRP149496	GSE115189	30228881	PMC6124389
SRP118922	GSE104288	32291635	PMC7253519
SRP180012	GSE125280		
SRP169618	GSE122714	31375810	PMC6824587
ERP008461			
SRP119065	GSE104382		
SRP071198	GSE78930	28548080	PMC5458547
SRP051387	GSE64379	25600643	PMC4320668
SRP152310	GSE116675	30080890	PMC6095625
SRP072501			
SRP127573	GSE108537	29606613	PMC5998560
SRP138008			
ERP110628			
ERP009022			
SRP115117	GSE102368	29719259	
SRP104001			
SRP095447		26496030	PMC4791243
ERP005774			
SRP181265			
SRP067836	GSE76367	27117702	PMC4860043
SRP108264	GSE99421	29590189	PMC5874048
SRP053216			
SRP094955	GSE92274	29977598	PMC6028447
SRP124778	GSE106772	30728504	PMC6522227
SRP115838	GSE102827	30089906	PMC6130801
SRP187054	GSE127296	31116797	PMC6530876
ERP006650			
SRP193326	GSE130136	31171701	PMC6601516
SRP047466	GSE61613	26351520	PMC4562113
SRP165202	GSE121127	30469014	PMC6249353
SRP125334	GSE107173	29292161	PMC5835116
SRP182662	GSE125742	30903824	
SRP163253	GSE120798	30987655	PMC6466735
SRP198410			
SRP076210	GSE82320	32494599	PMC7159918
SRP158619	GSE118933	30763282	PMC6482997
SRP021193	GSE46224	24429688	PMC3967509
SRP113668	GSE101942	29584757	PMC5870938
SRP192521	GSE129782	32321567	PMC7178746
SRP065236	GSE73853	27775709	PMC5140759
SRP057098			
SRP126640	GSE108017	29782499	PMC5983872
SRP121007			
SRP115705	GSE102792		
SRP189080	GSE128668	31223530	PMC6571010
SRP100404			
SRP126928	GSE108178		
SRP075535	GSE81730	31068472	PMC6535024
SRP191103	GSE129398	31221130	PMC6587273
SRP189464	GSE128866		
SRP155479	GSE117765	31219654	PMC7537108
SRP201221	GSE132624	31207090	PMC6777998
SRP125263	GSE107122	29281841	
SRP139859	GSE113089		
SRP094062	GSE90657	28069602	PMC5783288
SRP072837	GSE79888	27482887	PMC5004937
SRP201921	GSE133037	29074538	
SRP117345	GSE103765	32090361	PMC7156961
SRP163432	GSE120836	30739589	PMC6459729
SRP123587			
SRP117339	GSE103756	30332641	PMC6284236
SRP100643	GSE95297		
SRP072025	GSE79395		
SRP128574	GSE108885	30971824	PMC6607432
SRP029988	GSE50956	25035401	PMC4145124
SRP123623	GSE106528	31186416	PMC6559966
SRP198803	GSE131428		
SRP201045			
SRP200094			
SRP125225	GSE107086	31353184	PMC6904421
SRP036026	GSE54443	24584051	PMC4113004
SRP063005	GSE72537	26489471	
SRP074494	GSE81214	27304915	PMC4912386
SRP117256	GSE103698	29666403	PMC5904160
SRP074062	GSE80715	27531006	PMC4988046
SRP018358	GSE43983		
SRP213631	GSE133942		
SRP058107		26202458	PMC4511951
SRP113371	GSE101772	28891814	PMC5617658
SRP014925	GSE40228	23063654	
SRP115672	GSE102628	28899689	
SRP126582	GSE107992	29921861	PMC6008327
SRP074349	GSE81089	29282718	
SRP175164	GSE124620	30718505	PMC6362136
SRP032456	GSE51975	24612742	PMC4008156
SRP069217	GSE77513	27841875	PMC5555047
SRP126779			
SRP126482	GSE107893	30126904	
SRP127642			
SRP090877	GSE87647	28465430	PMC5441800
SRP116326			
SRP156532	GSE118203	30827679	PMC6408267
SRP181858	GSE125577		
SRP116226			
SRP116903	GSE103482	31738806	PMC6886865
SRP069773	GSE77682	27464526	PMC4963952
SRP078823	GSE84504	28392220	PMC5425613
SRP125909			
SRP126401	GSE107849	29206307	PMC5925424
SRP077885	GSE83999	29742422	
SRP150876	GSE116011	30583733	PMC6305572
SRP111526	GSE101157	29063830	PMC5655136
SRP114947	GSE102316	29756027	PMC5944006
SRP130953	GSE108901	29381765	PMC5790242
SRP122496	GSE106261	29281661	PMC5744951
SRP133612			
SRP127787	GSE108651	29946150	PMC6018746
SRP102725	GSE97215	28442587	PMC5705946
SRP118694	GSE104149	31671203	PMC7011636
SRP134014	GSE111457		
SRP029473			
SRP123356	GSE106419	30185909	
SRP165424			
SRP121798	GSE106178	29158345	
ERP006533			
SRP186882			
SRP126157	GSE107694	29337115	PMC5830912
SRP008552	GSE32493	22846614	PMC3563618
SRP015003			
SRP113587	GSE101883	29934353	PMC6705964
SRP127953	GSE108694	29765028	PMC5954061
SRP128721	GSE109040	32640223	PMC7351110
SRP131666	GSE109786	30773485	PMC6411485
SRP062099	GSE71777	27294782	
SRP131681	GSE109795	30914825	
SRP137147	GSE112692	30463007	PMC6336197
SRP132711	GSE110486	30061158	
SRP069190	GSE77480	27880902	PMC5149563
SRP056551	GSE67294	25762136	PMC4480648
SRP118963	GSE104302	30638865	PMC6413675
SRP132726	GSE110496	29451494	PMC5826272
SRP131198	GSE109645	30377295	PMC6207750
SRP071739	GSE79183	27780223	PMC5079595
SRP127266	GSE108367	30472158	PMC6602096
SRP126741	GSE108072	30567413	PMC6315686
SRP130653			
SRP131346	GSE103307	30446636	PMC5802550
SRP031626			
SRP051763	GSE64740	26283378	PMC4568211
SRP117331	GSE103753	29249358	PMC5786505
SRP126386	GSE107839	31181066	PMC6557477
SRP167864	GSE105451	30765193	PMC6436961
SRP124979	GSE106897	30636447	PMC6443464
SRP093386	GSE89888	28535794	PMC5442865
SRP032165	GSE51684	24170860	PMC3839752
SRP149665	GSE115266	30429577	PMC6235974
SRP191443	GSE129480	31092922	PMC6656391
SRP173282	GSE123637	31133756	PMC8183600
SRP055108	GSE66014	25784680	PMC4424629
SRP049449	GSE62913	25964336	PMC4450404
SRP053246	GSE65683	26157032	PMC4721635
SRP076175	GSE82289	27651452	PMC5224504
SRP115911	GSE102881	29472357	PMC5927997
SRP126328	GSE107813	30576656	PMC6310685
SRP200316	GSE132148	31391340	PMC6693839
SRP132977	GSE110709	29769286	PMC6200133
SRP174935	GSE124519	30773595	PMC6486551
SRP017966	GSE43526	23995680	PMC3767287
SRP075605	GSE81809	27834668	PMC5340593
SRP133085	GSE110810	30154439	PMC6113304
SRP128918	GSE109089	29625070	PMC5957284
GSE49403	E-GEOD-49403	23932716	
SRP042303	GSE58008	24927563	PMC4078832
SRP102181	GSE96815	29739946	PMC5940870
SRP131953	GSE109976	30078556	PMC6092984
SRP114979	GSE102333	29044103	PMC5647326
SRP043525	GSE58757	25792609	PMC4417114
SRP133250	GSE110973	30348672	PMC6199653
SRP127658	GSE108596	31480645	PMC6769494
SRP133438	GSE111082	29856954	PMC5986104
SRP136360	GSE112289	29797538	PMC6052399
SRP099125	GSE94728	28530236	PMC5458144
SRP110704	GSE100624		
SRP013825	GSE38805	22753484	PMC3406833
SRP127547	GSE108519	29551272	PMC5910255
SRP136473	GSE112335	26769123	
SRP079166	GSE84666	27869805	PMC5562951
SRP188526	GSE128359	29423032	PMC5790449
SRP126679	GSE108045	29275859	PMC5786503
SRP161520	GSE119827	30538148	PMC6380277
SRP101765			
SRP179954	GSE125239		
SRP091319			
SRP118465	GSE104090	29474907	PMC5847171
SRP083960	GSE86347	28093207	
SRP137893	GSE112786	29921838	PMC6008438
SRP130256			
SRP076944	GSE83637	28214226	PMC5337619
SRP009276	GSE33592	22747694	PMC3491381
SRP124931	GSE106857	29251592	PMC5734876
SRP117060	GSE103457	30048641	PMC6143394
SRP072076	GSE79412	27382138	PMC5074618
SRP195616	GSE130770	32433965	PMC7306178
SRP149103	GSE114970	29992293	PMC6101530
SRP126213	GSE107740	29581424	PMC5964330
SRP140557	GSE113209	30562046	
SRP131216	GSE109620	29510190	
SRP107322	GSE99059	29298432	PMC5770337
SRP163660	GSE120890	30626867	PMC6327058
SRP126288	GSE107781	30517868	PMC6342284
SRP132132			
SRP038723	GSE55210	25512495	PMC4284532
SRP195476			
SRP059917	GSE70331		
SRP111097	GSE100798	30375976	PMC6242549
SRP126663	GSE108026	29861296	PMC6791822
SRP126310	GSE107793	30833775	
SRP124663	GSE106709	29304344	PMC5757249
SRP181053	GSE125403	31048321	PMC6606342
SRP151496	GSE116277	30661960	
SRP167028			
SRP018008		24121792	PMC7512009
SRP101868	GSE96601	29021166	
SRP121492	GSE106188	28632132	PMC5478265
SRP123359	GSE106420	30111633	PMC6143415
SRP126583	GSE107993	29921861	PMC6008327
SRP127179	GSE108313	30567574	PMC6300015
SRP127487	GSE108482	29905868	PMC6125631
SRP030027	GSE51005	25519703	PMC4301544
SRP052072			
SRP057500	GSE68086	26525104	PMC4644263
SRP127832	GSE108680	30918008	PMC6463213
SRP113635	GSE101925		
SRP090707	GSE87534	29896299	PMC5996356
SRP150331	GSE115669	30809020	PMC6391480
SRP123292	GSE106390	29466761	PMC5823842
SRP106954	GSE98856	28869609	PMC5725193
SRP112521	GSE101497	29033940	PMC5626814
ERP009913			
SRP095259	GSE92506	28500253	PMC5538877
SRP068496			
ERP107742			
SRP120630	GSE105486	29295957	PMC5914505
SRP127383	GSE108427	29467410	PMC5821855
SRP108038	GSE99304	29129640	PMC5728175
SRP119003	GSE104354	29924996	PMC6314477
DRP004581			
SRP051000	GSE64025	26124181	PMC4695135
SRP028567	GSE48843	26834243	
SRP059741	GSE70105	26186542	PMC4505898
SRP039377			
ERP007076			
SRP169509	GSE122661	30686581	PMC6456036
SRP131185			
SRP127959			
SRP013757			
SRP126967	GSE108242	30069049	
SRP143514			
SRP076616	GSE83403	28600441	PMC5555465
SRP199405			
SRP127964	GSE108705	30121393	
SRP041394			
SRP015803			
SRP150561			
ERP113943			
ERP023410			
SRP126610			
SRP073756			
SRP087614			
SRP061252	GSE71025	26576678	PMC4650866
SRP192835	GSE129944	32236631	PMC7160548
SRP114779	GSE102231		
SRP127178	GSE108308	29309722	PMC6057476
SRP037718	GSE54912	29657262	PMC5831901
ERP105122			
SRP116196	GSE103122		
SRP166311	GSE121594		
SRP123137			
SRP153756	GSE117123		
SRP117763			
SRP101844			
SRP129007	GSE109143	30530525	PMC6356069
SRP198353	GSE131169		
SRP130971	GSE109181	31910882	PMC6945778
SRP029284	GSE50396	25879960	PMC4423592
SRP148623			
SRP130990	GSE109205	30166318	PMC6124540
SRP149452	GSE115171		
SRP113228	GSE101691	28808806	PMC5681404
SRP162262			
SRP060499	GSE70620	27056325	PMC4933219
SRP166295	GSE121580	31447391	
SRP081284	GSE85493	27795423	PMC5165202
ERP004763			
SRP107984	GSE99286		
SRP065396	GSE74423	26669262	PMC4712191
SRP119158	GSE104447	30971389	PMC6557621
SRP119826	GSE104856	29386330	PMC5828396
SRP131116	GSE109408	30801013	PMC6382400
SRP052109			
SRP028166	GSE49121	28814270	PMC5559791
SRP032943	GSE52289	24350621	PMC3878232
ERP024385			
SRP094654	GSE90546	27984733	PMC5315571
ERP070186			
SRP122954	GSE106346	29259119	PMC5777083
SRP022131	GSE46597	27016420	PMC5041931
SRP126064	GSE107648	30332651	PMC6292215
SRP136094	GSE112085	31174582	PMC6555954
SRP187599	GSE127888	30872264	
SRP016589		3293768	
SRP127247	GSE108341	29420172	
SRP115354	GSE102596	29449449	PMC5827607
SRP028530			
SRP131143	GSE109420	28611249	PMC5472187
SRP131762	GSE109823		
SRP131149	GSE109367	29731978	PMC5929421
SRP076010	GSE82147	28462379	PMC5403975
SRP126247	GSE107762	29262329	PMC5746596
SRP125226	GSE107090	29749372	PMC5945637
SRP104137	GSE97881	28757360	PMC5720381
SRP125434			
SRP131796	GSE109892	31649055	PMC6836741
SRP128699	GSE109028	29339449	PMC5789414
SRP132121	GSE110054	29657129	PMC5953834
SRP134731	GSE111656	30413769	PMC6226428
SRP100793	GSE95446	30270042	PMC6176871
SRP186789	GSE127081	30860984	PMC6486333
SRP151306	GSE116246	32420869	PMC7259953
SRP129388			
SRP131004	GSE109231	29661169	PMC5902834
SRP058953	GSE69446	29263823	PMC5642384
SRP028333	GSE49372	24121774	PMC3832273
SRP149545	GSE115217	30827679	PMC6408267
SRP131037	GSE109409	30622122	PMC6385974
SRP116963	GSE103509	30013107	PMC6101038
SRP132217			
SRP098939	GSE94578	29361088	PMC6231367
SRP130933	GSE108769	29358330	PMC5846143
SRP150349	GSE115678	31189107	PMC6579117
SRP096422			
SRP101459	GSE95754	29894689	PMC6648657
SRP115209	GSE102498	31539914	PMC6698662
SRP115201	GSE102492	29046677	PMC5632758
SRP174638	GSE124400	31671072	PMC6962023
SRP131048	GSE109373	29463573	PMC5859965
SRP092544			
SRP131083	GSE109313		
SRP076532			
SRP128596	GSE108896	30247264	PMC6319583
SRP162384	GSE120337	30961617	PMC6454664
SRP183528	GSE126076	30914431	PMC6522315
SRP106875	GSE98812		
SRP133108	GSE110826	29576540	PMC5998748
SRP131910	GSE109903	29353739	
SRP008482			
SRP133303	GSE111011		
SRP133374	GSE111049	30683619	PMC6382411
SRP040288			
SRP103803	GSE97647		
SRP140489	GSE113127	31428694	PMC6689007
SRP136770	GSE112516	30042172	PMC6140460
SRP101737	GSE96083	29305255	
SRP069361	GSE77638	28801509	PMC5623860
ERP114264			
SRP100459	GSE95131		
DRP003353			
SRP096329	GSE93315	28228285	PMC5405381
SRP014843	GSE40110	23295673	PMC3597643
SRP056425	GSE67163	28138513	PMC5262454
SRP119989	GSE104990	29212017	
SRP064590			
SRP193360	GSE130148	31209336	
SRP121047			
SRP123628	GSE99372	29084993	PMC5662632
SRP158196	GSE118686	30550790	PMC6474419
ERP021298			
SRP133476	GSE111108	30096152	PMC6105007
SRP056187	GSE66908	25848745	PMC4412109
SRP029365	GSE50491	24763052	PMC4001311
SRP010038	GSE34736	25358733	
SRP038963	GSE55361	25751603	PMC4355961
SRP079926	GSE84877	30301887	PMC6177464
SRP010061	GSE34740	23160002	PMC3625679
SRP123345	GSE105043	29072292	PMC5768243
SRP133095	GSE110820	31266983	PMC6606599
SRP049607	GSE63086	27672039	PMC5314791
SRP106148	GSE98483	30566872	
SRP146249	GSE114493	29042553	PMC5645359
SRP134380	GSE111643	30107853	PMC6092781
SRP149071	GSE114946	30150775	
SRP134954	GSE111717	30311909	PMC6234031
SRP058647	GSE69121	26785999	
SRP166290	GSE121578	30635621	PMC6687501
SRP135523		25980440	PMC4627344
SRP201065			
SRP135671	GSE111819	30240468	PMC6340102
SRP062880	GSE72424	26366565	PMC4569328
SRP135989	GSE112007	30911355	PMC6398008
SRP102374	GSE96975	29160304	PMC5807082
SRP136914	GSE112586	30274785	PMC6225079
SRP043684	GSE58933	26524527	PMC4742055
SRP136996	GSE112623		
SRP139607	GSE113010	29618596	
SRP061425	GSE71208	26627478	PMC4667504
SRP106630	GSE98645	29489876	PMC5831037
SRP139971			
SRP140015	GSE113144	30679557	PMC6345880
SRP140533	GSE113196	31428694	PMC6689007
SRP142614	GSE113670	29856956	PMC6003425
SRP061840	GSE71557	26501517	PMC4666778
SRP184221	GSE126158	30819896	PMC6431196
SRP078984	GSE79989		
SRP041255	GSE56887	25079319	PMC4492470
ERP015184			
SRP110638	GSE100516	29511024	
SRP126485	GSE107894	29383869	PMC5847877
SRP069181	GSE77466	27528123	PMC4985699
SRP189030	GSE128647	31018129	PMC6499398
SRP068909	GSE77216	29653696	
SRP127005	GSE108255	29526553	PMC6422678
SRP075250	GSE81478	31910882	PMC6945778
SRP041441			
SRP126511	GSE107932	29568378	PMC5862599
SRP094931	GSE92250	29491376	PMC5830406
ERP005289			
SRP174368	GSE124314	30718840	PMC6362250
SRP126765	GSE108084	29844388	PMC5974302
SRP068078	GSE76523	26981572	PMC4776252
SRP156967	GSE118382	30564147	PMC6288844
SRP100729	GSE95378	28506207	PMC5433025
SRP145493			
SRP126790	GSE108111	30087459	PMC6265260
DRP004588			
SRP168566	GSE122490		
SRP060719	GSE70831	27025651	PMC4856999
SRP096187	GSE93241	28343983	PMC5459756
SRP126942	GSE108197	29768216	PMC5972229
SRP034731	GSE53653	25359723	PMC4302925
SRP114703	GSE102182	28916711	PMC5647940
SRP127021	GSE108198	31023926	
SRP009041	GSE33060	22085726	PMC3243056
SRP094502			
SRP166987		27815382	PMC5853922
SRP132238	GSE110179		
SRP005900			
SRP127037	GSE108278	30988157	PMC6549465
SRP188300	GSE128223	31118283	PMC6576116
SRP082415	GSE85854	27871485	
SRP104304	GSE97990	29394393	PMC5888657
SRP127251	GSE108349	30778227	
SRP061292	GSE71070		
SRP128927	GSE109108	30828688	PMC6383697
SRP092327	GSE89298	29260710	PMC5754203
SRP083311	GSE86202		
SRP111290	GSE100885		
SRP121330	GSE106116	30008326	PMC6067150
ERP001540			
SRP131506	GSE109700	30728521	PMC6519963
SRP060226	GSE70436		
SRP136720	GSE112445	30877256	PMC6452716
SRP181136	GSE125437	31253180	PMC6599250
SRP131052	GSE109439	30809020	PMC6391480
SRP101421	GSE95701	28514690	
SRP126488	GSE107900	29674659	PMC5908789
SRP035934		24889252	
SRP093275	GSE89745	28076790	PMC5926788
ERP016663			
SRP119877			
SRP186861	GSE126893	30948856	
SRP186897	GSE127203	30897824	PMC6471371
SRP131337	GSE103383	29472102	PMC5985229
ERP009283			
SRP064418	GSE73696	27604143	PMC5015087
SRP080360	GSE85008	28017614	PMC5234852
SRP154984	GSE117580	30374129	PMC6241853
SRP136828	GSE112550	29650642	PMC6029524
SRP097470	GSE93904	30889293	
SRP090317	GSE87257	27708057	PMC5438575
SRP064981	GSE74157	26638070	
SRP072302	GSE79586	28813674	PMC5985663
SRP131373	GSE109564	29980650	PMC6065085
SRP078315			
SRP131422	GSE109686		
SRP153016			
SRP158917	GSE119088	30220457	
SRP072721		27693749	PMC5848428
SRP198408	GSE131218	31266951	PMC6606647
SRP093176			
SRP131485	GSE109706	29486295	
SRP145267	GSE114296	30309298	PMC6728557
SRP131486	GSE109708	30242112	PMC6239953
DRP004610			
SRP113442	GSE101788	29958106	PMC6211564
SRP030768			
DRP004807			
SRP091546	GSE88741	29269732	PMC5740069
SRP132295	GSE110219	29907599	PMC7115916
ERP104993			
SRP143523	GSE113812	30445574	PMC6344860
SRP132172	GSE110114	30519573	PMC6241233
SRP106651	GSE98670	28925592	
SRP103864	GSE97744	28528700	PMC5470097
SRP095351	GSE92574	28055971	PMC5354662
SRP132366	GSE110272	30824372	PMC6482433
DRP003304			
SRP110609	GSE100562	28923166	PMC5629023
SRP143362	GSE113711	30080437	PMC6140815
SRP052738			
SRP188921	GSE128526	31110013	PMC6561285
SRP144303	GSE113942	30696738	PMC6355981
SRP132414	GSE110309	30739867	PMC6369230
SRP135836	GSE111860	30108108	PMC6093724
SRP119707	GSE104797	30389661	PMC6236335
SRP022133	GSE46665	24205042	PMC3804545
SRP193940	GSE130353	31088495	PMC6518812
SRP101904			
GSE66324	E-GEOD-66324	26542213	PMC4681644
SRP097223	GSE93855	29149296	PMC5729692
SRP116908	GSE103486	29867192	PMC6075671
SRP132630	GSE110451	30423299	PMC6239211
SRP091582	GSE88779	28380380	PMC8586897
DRP002792			
SRP057745	GSE68341	26025803	PMC4510000
DRP004499		29158419	
ERP109857			
SRP092181	GSE89237	27940562	PMC5397152
SRP166018	GSE121422	30542117	PMC6461515
DRP002785			
SRP042219	GSE57938	26861190	PMC4748411
SRP095426	GSE92583	28213356	PMC5340587
SRP126833	GSE108131	29890952	PMC5996485
SRP150586	GSE115832	30142145	PMC6108454
SRP017789	GSE43306	23993096	PMC3974915
DRP004507			
ERP105123			
DRP004096		29391571	PMC5794794
SRP044271	GSE53837	25326100	PMC4299376
DRP003127			
SRP098694			
SRP173608	GSE123943		
DRP005100			
DRP004742			
SRP059509	GSE69889	26542580	PMC4669216
DRP003123			
DRP003376		32499641	PMC7305989
SRP043147	GSE58420	26337391	PMC4626063
SRP063978	GSE73317	26752646	PMC4731162
SRP045294	GSE60138	25543152	PMC4310934
SRP100952	GSE95586	30866818	PMC6416986
DRP003817			
SRP167265	GSE121995		
SRP057147	GSE67844	26783232	PMC4719779
SRP105796	GSE98368	28813657	PMC5568089
SRP049477	GSE62938	25429728	PMC4301459
ERP008458			
SRP155151	GSE117632	30392959	PMC6433469
SRP091928	GSE89049	27820945	PMC5799085
SRP113172	GSE101669	28763026	PMC5575655
SRP017192	GSE42316	23345446	PMC3568357
SRP128495	GSE108912	30272197	PMC6305196
SRP050126	GSE63547	27270397	
SRP082973	GSE86064	29581847	PMC5865673
SRP109018	GSE99937	29229852	PMC5748186
SRP133779		29685133	PMC5914069
SRP041937	GSE57616		
SRP159550			
ERP023964			
SRP064894			
SRP154527	GSE117417	31274236	PMC6792132
SRP150552	GSE115823	30962590	PMC6472965
SRP115932	GSE102924	28874392	PMC5626408
DRP004311			
ERP012951			
DRP004548			
SRP166001			
ERP115772			
SRP064477			
DRP005130			
SRP126968	GSE108243	30069049	
SRP120043	GSE105044	30314757	PMC8060917
SRP150234	GSE115601	30086735	PMC6081936
SRP162630	GSE120493		
SRP212704	GSE133626		
SRP170007	GSE122786	31040242	PMC6495377
SRP013984	GSE39081	22888137	PMC3436983
SRP179994	GSE125267		
SRP140509	GSE113182	30975897	PMC6601215
SRP119312	GSE104537	29233921	PMC5793788
SRP125027	GSE106927	30184491	
SRP115309	GSE102563	28930663	PMC5719893
SRP115558	GSE102729	30385632	PMC6255152
SRP150355	GSE115687	30026227	PMC6257981
SRP077011			
SRP077577	GSE83855	28768192	PMC5600321
SRP057156	GSE67866	26028532	PMC4472038
SRP139248	GSE112866	30416071	
SRP158994	GSE119117	30222771	PMC6160227
SRP062164	GSE71843		
SRP164953	GSE121106	31285436	PMC6614369
SRP113808			
SRP156583	GSE118254	31263277	PMC6642679
SRP191031	GSE129375	31043343	PMC6612663
SRP144495	GSE114012	29853607	PMC6028508
SRP120356	GSE105128	29669285	PMC5947873
SRP096819	GSE93650	28431232	
SRP184505	GSE126221	31092928	PMC7613045
ERP014069			
SRP114949	GSE102317	29078395	PMC5699083
SRP067630	GSE76199	27100670	PMC4839679
SRP190212	GSE129240	31101809	PMC6525259
SRP166112	GSE121411	30531871	
SRP174653	GSE124472	31265809	PMC6684316
SRP142489	GSE113601	29991687	PMC6039465
SRP151475	GSE116346		
SRP116290	GSE103154	29802404	
SRP053296	GSE65705	26367242	PMC4933502
SRP112583	GSE101526	29117556	PMC5726794
SRP117629			
SRP156528	GSE118206	30287662	PMC6414229
SRP182039	GSE125648	31186036	PMC6560732
SRP189782	GSE129007	31229590	PMC6620429
DRP002295			
SRP066729	GSE75432	26733251	PMC4760409
SRP151820	GSE116555	29986945	PMC6202208
SRP121790	GSE106246	29643507	
SRP111862	GSE101413	29662633	PMC5882324
SRP076627	GSE83415	27385437	PMC4935846
SRP100878	GSE95536	29934580	PMC6015003
SRP182842	GSE125856	30996144	PMC6538324
SRP119207	GSE104465	29394375	PMC5888676
SRP052615	GSE65107	26658215	
SRP181625	GSE125506		
SRP182835	GSE125852	32123031	PMC7196586
SRP100982	GSE95605		
SRP188361	GSE128263	30998937	PMC6547378
SRP147921	GSE114157	30865901	PMC6424336
SRP167173	GSE121949	30867593	PMC6438714
SRP026297	GSE48263	23908766	PMC3728624
SRP090091	GSE86491	28395321	
SRP128928	GSE109111	29942250	PMC6004407
SRP152942	GSE116860		
SRP117019	GSE103583	29180618	PMC5703900
SRP082372	GSE85759	28696287	PMC5544317
SRP101952	GSE96643	28388414	PMC5388891
SRP174621	GSE124451	30952905	PMC6451017
SRP200118			
SRP113768	GSE102002	29565363	
SRP065795			
SRP096367	GSE93385	28216147	PMC5355569
SRP126092	GSE107671	30393076	PMC6286383
SRP057735	GSE68327	27292646	
SRP102683	GSE97158	29920562	PMC6007927
SRP136156	GSE112124	29743561	PMC5943605
SRP108859	GSE99825	29088719	PMC5650274
SRP174625	GSE124453	30849979	PMC6408762
SRP116960	GSE103577	30930245	PMC6450498
SRP194595	GSE130636	31075224	PMC6596422
SRP183758	GSE126111	31270426	PMC6610623
SRP127180		30816141	PMC6395771
SRP182965	GSE125917		
SRP124412			
SRP073743	GSE80591	27292631	PMC5094353
SRP152883			
SRP184538	GSE126260	31110246	PMC6527555
SRP116257	GSE103096	30723171	PMC6530478
SRP113585	GSE101881	30886344	PMC6451630
SRP159660	GSE119513		
SRP114611			
SRP076773			
SRP012289		22110684	PMC3218001
SRP072823	GSE79871		
SRP113534	GSE101851	29891946	PMC5995920
SRP136939			
SRP136039			
SRP112571	GSE101525		
SRP119239	GSE104478		
GSE104779	E-GEOD-104779	30597922	PMC6356828
SRP173213	GSE123532	30804934	PMC6371048
SRP108538	GSE99641	28964699	PMC5679353
SRP167200			
SRP188088	GSE128102	26921690	PMC5010388
SRP131761	GSE109822	29391249	PMC5869055
SRP091947	GSE89063	27942596	PMC5135271
SRP158939	GSE119101	31194736	PMC6563950
SRP139086	GSE112846	30007418	PMC6086366
ERP003460			
SRP094786	GSE91060	28119630	PMC5220077
SRP134096	GSE111518	30898894	PMC6446881
SRP052129			
SRP166458	GSE121665	30995674	PMC6657343
ERP019920			
SRP188245	GSE128205	32106863	PMC7045492
SRP119004	GSE104351	30103450	PMC6121550
SRP182708	GSE125778	31957537	PMC6973314
SRP168244	GSE122334	30700907	PMC6526281
SRP134119	GSE111538	29759990	PMC6072573
SRP029452	GSE50514	24416450	PMC3887110
SRP183811	GSE126107	30770247	PMC6594374
SRP169851	GSE122735	31492853	PMC6731298
SRP114569	GSE102142	28928284	PMC5612257
SRP123633			
SRP149447	GSE115166	29734136	PMC6016551
SRP111436	GSE101050		
SRP007946	GSE31616		
SRP154111	GSE117206	31324763	PMC6642158
SRP092429	GSE89415	29342143	PMC5785461
SRP107327	GSE99068	28683285	
SRP101864	GSE96596	28724634	PMC5592660
SRP052491	GSE65039		
SRP139731	GSE113031	30228232	
SRP119863	GSE104908		
SRP023539			
SRP157585	GSE118448	30568916	PMC6290060
SRP007605		26006006	
SRP154717	GSE117469	30651639	PMC7116578
SRP032522	GSE52058	25031657	PMC4091448
ERP110482			
SRP135295	GSE111786		
SRP186927	GSE127222	31186409	PMC6560121
SRP158772	GSE119021	30286788	PMC6172843
SRP143456	GSE113753	29993038	PMC6237764
SRP148597	GSE114725	29961579	PMC6348010
SRP150046			
SRP107230	GSE98976	28658631	PMC5528177
SRP174407	GSE124334	30949159	PMC6437045
SRP150313	GSE115653	30357359	PMC6277088
SRP176434	GSE124738	31005702	
DRP000538			
ERP012939			
SRP078262	GSE84259	28052240	
SRP119895	GSE104926		
SRP083780	GSE86251	30560870	PMC6299091
ERP002625			
SRP164707	GSE120996	30237504	PMC6148236
SRP166762			
SRP131095	GSE109326	29576454	PMC6643283
SRP066450	GSE75220	27126046	PMC5182069
SRP080292	GSE84958		
SRP123263			
SRP066366			
SRP126505	GSE107923		
SRP151763	GSE115828	31631019	PMC6895716
SRP157957			
ERP021828			
SRP149191	GSE115024		
SRP090514	GSE87400	27999094	PMC5204336
SRP072038	GSE79400	27837029	
SRP090905	GSE87668	27829155	
SRP135813	GSE111909	29642504	PMC5924541
SRP081391	GSE85522	28869607	
SRP066064	GSE74919	27098915	PMC4896187
SRP185809	GSE126503	30962446	PMC6453957
SRP195499	GSE130734	31142640	PMC6545605
SRP156940	GSE118374	30327322	
SRP140558	GSE113210	30562046	
SRP117665			
