pmc_ID,accession,real_introducer
PMC6528258,GSE118596,PMC6528258
PMC7904261,GSE151153,PMC7904261
PMC7904261,GSE151240,PMC7904261
PMC8100287,GSE134299,PMC8100287
PMC8100287,GSE134297,PMC8100287
PMC8100287,GSE134298,PMC8100287
PMC5379667,GSE77872,PMC5379667
PMC6506518,GSE117583,PMC6506518
PMC4009606,GSE49412,PMC4009606
PMC4009606,GSE49808,PMC4009606
PMC4917962,GSE67132,NaN
PMC4031077,GSE42929,NaN
PMC2894042,GSE16397,NaN
PMC7909289,GSE143760,PMC7909289
PMC6105652,GSE102488,PMC6105652
PMC3734234,GSM874413,NaN
PMC3734234,GSM874415,NaN
PMC3734234,GSM724741,PMC3457574
PMC3734234,GSM724739,PMC3457574
PMC3597546,GSE37858,PMC3597546
PMC3597546,GSM929091,PMC3597546
PMC4121359,GSE39775,PMC3625261
PMC6727750,GSE119087,PMC6727750
PMC6727750,GSE119085,PMC6727750
PMC6727750,GSE119083,PMC6727750
PMC6727750,GSE119084,PMC6727750
PMC6727750,GSE119128,PMC6727750
PMC5207757,SRR3111595,PMC6836297
PMC5207757,SRR3111594,PMC6836297
PMC5207757,SRR3111592,PMC6836297
PMC5207757,SRR3111596,PMC6836297
PMC5207757,SRR3111597,PMC6836297
PMC5207757,SRR3111598,PMC6836297
PMC5207757,SRR3111599,PMC6836297
PMC5207757,SRR3111600,PMC6836297
PMC5207757,SRR3111601,PMC6836297
PMC5207757,SRR3111602,PMC6836297
PMC5207757,SRR3111603,PMC6836297
PMC5207757,SRR3111593,PMC6836297
PMC5207757,SRR3111591,PMC6836297
PMC5207757,SRP068722,PMC6836297
PMC5207757,SRR3111582,PMC6836297
PMC5207757,SRR3111583,PMC6836297
PMC5207757,SRR3111584,PMC6836297
PMC5207757,SRR3111585,PMC6836297
PMC5207757,SRR3111590,PMC6836297
PMC5207757,SRR3111586,PMC6836297
PMC5207757,SRR3111587,PMC6836297
PMC5207757,SRR3111588,PMC6836297
PMC5207757,SRR3111605,PMC6836297
PMC5207757,SRR3111589,PMC6836297
PMC5207757,SRR3111604,PMC6836297
PMC5207757,SRR3111611,PMC6836297
PMC5207757,SRR3111606,PMC6836297
PMC5207757,SRR3111607,PMC6836297
PMC5207757,SRR3111618,PMC6836297
PMC5207757,SRR3111608,PMC6836297
PMC5207757,SRR3111609,PMC6836297
PMC5207757,SRR3111610,PMC6836297
PMC5207757,SRR3111612,PMC6836297
PMC5207757,SRR3111613,PMC6836297
PMC5207757,SRR3111614,PMC6836297
PMC5207757,SRR3111616,PMC6836297
PMC5207757,SRR3111617,PMC6836297
PMC5207757,SRR3111619,PMC6836297
PMC5207757,SRR3111620,PMC6836297
PMC5207757,SRR3111621,PMC6836297
PMC5207757,SRR3111622,PMC6836297
PMC2848842,GSM511182,NaN
PMC2848842,GSM511181,NaN
PMC2848842,GSM511180,NaN
PMC2848842,GSM511178,NaN
PMC2848842,GSM511179,NaN
PMC2848842,GSM511176,NaN
PMC2848842,GSM511177,NaN
PMC2848842,GSM511174,NaN
PMC2848842,GSM511175,NaN
PMC2848842,GSM511173,NaN
PMC2848842,GSM511172,NaN
PMC2848842,GSM511171,NaN
PMC2848842,GSM511170,NaN
PMC2848842,GSM511169,NaN
PMC2848842,GSM511168,NaN
PMC2848842,GSM511167,NaN
PMC2848842,GSM511183,NaN
PMC2848842,GSM511184,NaN
PMC2848842,GSM511165,NaN
PMC2848842,GSM511166,NaN
PMC2848842,GSM511164,NaN
PMC2848842,GSE20406,NaN
PMC3826595,GSE45435,PMC3826595
PMC3826595,GSE45434,PMC3826595
PMC3826595,GSE45267,PMC3826595
PMC3826595,GSE45436,PMC3826595
PMC5830912,GSE107694,PMC5830912
PMC4838890,GSE71114,PMC4838890
PMC3264656,GSE34132,PMC3264656
PMC3701326,GSE35805,PMC3701326
PMC3257605,GSE18619,PMC3257605
PMC3257605,GPL9461,PMC3257605
