RNA-Seq,28174
AMPLICON,16441
WGS,39098
OTHER,4735
miRNA-Seq,1488
WXS,1028
Bisulfite-Seq,540
WGA,823
MRE-Seq,15
FL-cDNA,315
ChIP-Seq,1165
RAD-Seq,429
CLONE,121
RIP-Seq,50
ATAC-seq,172
Targeted-Capture,607
POOLCLONE,159
other,5
Hi-C,258
WCS,224
DNase-Hypersensitivity,140
EST,948
MNase-Seq,102
MeDIP-Seq,59
Tn-Seq,79
MBD-Seq,11
CTS,9
Synthetic-Long-Read,23
ncRNA-Seq,122
SELEX,9
ChIA-PET,2
CLONEEND,37
Tethered Chromatin Conformation Capture,3
FINISHING,10
